song_title,song_url
In My Feelings(Explicit),http://www.kuwo.cn/yinyue/47061231?catalog=yueku2016
Girls Like You(Clean),http://www.kuwo.cn/yinyue/41514956?catalog=yueku2016
I Like It,http://www.kuwo.cn/yinyue/40982530?catalog=yueku2016
FEFE,http://www.kuwo.cn/yinyue/49987523?catalog=yueku2016
Better Now,http://www.kuwo.cn/yinyue/41296393?catalog=yueku2016
Lucid Dreams,http://www.kuwo.cn/yinyue/41395213?catalog=yueku2016
No Tears Left To Cry,http://www.kuwo.cn/yinyue/41209454?catalog=yueku2016
God is a woman,http://www.kuwo.cn/yinyue/49299876?catalog=yueku2016
SICKO MODE,http://www.kuwo.cn/yinyue/50573785?catalog=yueku2016
